日付,来客数 の SUM,売上 の SUM,単価 の AVERAGE,リピート数 の SUM,新規のSUM,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s),最大風速(m/s),最大風速(m/s),平均蒸気圧(hPa),平均雲量(10分比),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2016/09/19,86,86900,1013.354037,41,45,21.3,22.9,19.2,21.5,0,2.6,4.4,北東,24.3,10,雨一時曇,大雨
2016/09/20,57,54300,950.5398671,25,32,19.1,20.1,17.6,91.5,0,3,6.2,北西,22.1,10,大雨,大雨後曇
2016/09/21,72,67850,948.8095238,25,47,20.1,23.2,17.6,0,0.1,2.5,4.9,北東,20.2,10,曇後一時雨,雨時々曇
2016/09/22,76,77600,1027.246377,21,55,19.4,20.9,18.1,56.5,0,2.4,4.8,北西,22.1,10,大雨,雨一時曇
2016/09/23,74,70650,957.2246859,30,44,20.8,22.1,19.4,16.5,0,1.2,3.6,北西,24.6,10,雨一時曇,曇時々雨
2016/09/25,103,100400,978.1565657,34,69,23.6,28.4,20.3,0,3.4,1.8,4,南東,25.9,10,曇後一時晴,曇
2016/09/26,52,49550,952.8846154,20,32,25.4,30.1,21.9,0,3.1,1.8,4,北東,28,10,曇,曇後一時晴
2016/09/27,78,73650,952.1990741,34,44,25.6,29.8,22.8,0,2.3,2,4.5,南南東,29.1,9,曇一時晴,薄曇時々晴
2016/09/28,64,62350,985.5769231,22,42,26.5,30.6,24,0,2.1,2.2,4.3,北西,29.6,8.5,曇後時々雨,曇時々雨
2016/09/29,65,63750,987.5,26,39,24.6,27.9,21.7,0,0.7,2.2,4.2,北東,27,10,曇時々雨,曇時々雨
2016/09/30,53,49750,938.6792453,20,33,21.4,24.7,18.8,2.5,2.4,2.7,4.5,南南東,16.7,10,曇,曇後時々雨
2016/10/02,113,113650,1004.734589,40,73,23.1,27.6,18.6,0,9.1,1.9,4.3,南南東,21.9,6,晴,曇一時晴
2016/10/03,76,72200,949.4391026,41,35,22.7,26.5,20.1,2,0,2.3,7.5,南,26,10,雨時々曇,薄曇一時雨
2016/10/04,89,88800,1002.345388,31,58,24.9,32,19.7,0,6.2,2.1,5.2,北西,22.8,10,薄曇,曇時々晴
2016/10/05,82,81050,990.8020274,17,65,24,26.4,21.5,0.5,0.7,3.1,9.5,南南西,24.5,10,曇時々雨,曇時々雨後一時晴
2016/10/06,72,71350,1000,25,47,26,31.3,21.4,0,8.3,3.7,10.3,南南西,19.9,7.5,薄曇,曇時々晴
