営業日,営業,並盛個数,レディース個数,大盛個数,来客数計,売上計,リピート計,11~12,12~13,13~14,14~15,17~18,18~19,19~20,20~21,21~,チケ利用,同伴,Makuake,天気,客単価,曜日,月,週,年
 9月 1 (木),一日,,,,77,74250,,,,,,,,,,,,,,1. 晴れ,964, 4.木曜日,9,36,2016
 9月 2 (金),一日,,,,77,75250,,,,,,,,,,,,,,1. 晴れ,977, 5.金曜日,9,36,2016
 9月 3 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,9,36,2016
 9月 4 (日),一日,,,,132,133150,,,,,,,,,,,,,,1. 晴れ,1009, 7.日曜日,9,37,2016
 9月 5 (月),一日,,,,79,78600,,,,,,,,,,,,,,1. 晴れ,995, 1.月曜日,9,37,2016
 9月 6 (火),一日,,,,73,69050,,17,19,18,3,2,4,8,1,1,,,,1. 晴れ,946, 2.火曜日,9,37,2016
 9月 7 (水),一日,,,,76,77200,,13,24,4,1,4,7,8,8,7,,,,1. 晴れ,1016, 3.水曜日,9,37,2016
 9月 8 (木),一日,,,,63,63500,,11,21,6,5,1,2,3,3,11,,,,2. 曇り,1008, 4.木曜日,9,37,2016
 9月 9 (金),一日,,,,69,65650,,9,21,14,1,3,4,5,6,6,,,,2. 曇り,951, 5.金曜日,9,37,2016
 9月 10 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,9,37,2016
 9月 11 (日),一日,,,,115,115000,,16,16,21,15,26,5,8,7,1,,,,2. 曇り,1000, 7.日曜日,9,38,2016
 9月 12 (月),一日,,,,82,80750,,2,4,4,9,3,12,23,14,11,,,,2. 曇り,985, 1.月曜日,9,38,2016
 9月 13 (火),一日,,,,54,55000,,2,1,2,8,4,4,22,9,2,,,,4. 雨,1019, 2.火曜日,9,38,2016
 9月 14 (水),一日,,,,75,70900,,3,11,9,3,8,11,22,3,6,,,,2. 曇り,945, 3.水曜日,9,38,2016
 9月 15 (木),一日,,,,62,65200,,3,3,13,4,8,5,22,3,3,,,,3. 曇り雨,1052, 4.木曜日,9,38,2016
 9月 16 (金),一日,,,,82,78850,,9,10,7,10,2,8,22,11,3,,,,3. 曇り雨,962, 5.金曜日,9,38,2016
 9月 17 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,9,38,2016
 9月 18 (日),一日,,,,88,87500,,14,6,9,5,6,14,19,10,8,,,,3. 曇り雨,994, 7.日曜日,9,39,2016
